"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.957546000E0,1.767986082E-2,6.028258801E-2,1.218224764E0,1.219843491E0
1.967586000E0,1.221771818E-2,5.688120425E-2,1.206095576E0,1.207497943E0
1.977626000E0,9.698634036E-3,5.133623630E-2,1.195497632E0,1.196638651E0
1.987666000E0,9.146294557E-3,4.827120155E-2,1.188127279E0,1.189142630E0
1.997707000E0,9.289469570E-3,4.546682537E-2,1.180739760E0,1.181651348E0
2.007747000E0,1.564961299E-2,4.036790133E-2,1.176887274E0,1.177683376E0
2.017757000E0,1.339950878E-2,4.308858514E-2,1.175325155E0,1.176191053E0
2.027797000E0,1.243694685E-2,4.267005995E-2,1.174130678E0,1.174971600E0
2.037837000E0,9.005463682E-3,4.798040166E-2,1.177609921E0,1.178621374E0
2.047878000E0,-4.868422635E-3,5.938416719E-2,1.179891467E0,1.181394961E0
2.057918000E0,-8.934802376E-3,6.236637384E-2,1.181474447E0,1.183153103E0
2.067958000E0,-1.207818277E-2,6.949274987E-2,1.190659642E0,1.192747043E0
2.077998000E0,-1.356156357E-2,7.697010785E-2,1.197057605E0,1.199606278E0
2.088039000E0,-1.188473590E-2,8.785294741E-2,1.201792717E0,1.205058140E0
2.098079000E0,-1.798013225E-3,8.699141443E-2,1.211191058E0,1.214312364E0
2.108119000E0,5.238870624E-3,8.670219779E-2,1.217448354E0,1.220542998E0
2.118160000E0,-2.958605066E-3,1.129103750E-1,1.222815156E0,1.228020526E0
2.128200000E0,-4.357418977E-3,1.205649525E-1,1.225479722E0,1.231403851E0
2.138240000E0,-7.975590415E-3,1.323928535E-1,1.230979919E0,1.238104616E0
2.148280000E0,-8.571217768E-3,1.350915432E-1,1.238511682E0,1.245886984E0
2.158321000E0,-6.947488524E-3,1.421707571E-1,1.239820600E0,1.247964707E0
2.168361000E0,-1.492490992E-3,1.421271563E-1,1.247231722E0,1.255304475E0
2.178401000E0,3.215711564E-3,1.447458416E-1,1.255210519E0,1.263532804E0
2.188411000E0,6.940630730E-3,1.472278684E-1,1.263455510E0,1.272023602E0
2.198451000E0,1.116813254E-2,1.417593211E-1,1.272892714E0,1.280810795E0
2.208492000E0,1.114194747E-2,1.349780262E-1,1.284274459E0,1.291396181E0
2.218532000E0,7.118443027E-3,1.300056428E-1,1.298925281E0,1.305434420E0
2.228572000E0,3.226788249E-3,1.255884767E-1,1.316876292E0,1.322855263E0
2.238612000E0,-4.850579426E-3,1.223338470E-1,1.339196682E0,1.344781340E0
2.248653000E0,-3.921645693E-3,1.101017520E-1,1.366023660E0,1.370459198E0
2.258693000E0,-1.848108135E-3,1.094777733E-1,1.396052122E0,1.400339361E0
2.268733000E0,1.016643085E-2,1.047362387E-1,1.429684997E0,1.433552310E0
2.278774000E0,2.108618990E-2,1.056984439E-1,1.462027431E0,1.465994883E0
2.288814000E0,3.505234048E-2,1.020973176E-1,1.495037317E0,1.498929321E0
2.298854000E0,4.036667943E-2,1.057173535E-1,1.530859470E0,1.535036269E0
2.308894000E0,4.754135385E-2,1.104738563E-1,1.566663384E0,1.571272991E0
2.318935000E0,5.156485736E-2,1.131239682E-1,1.603070974E0,1.607884485E0
2.328975000E0,4.698569700E-2,1.238422990E-1,1.639980912E0,1.645321234E0
2.339015000E0,4.834311083E-2,1.300727576E-1,1.674719691E0,1.680458873E0
2.349056000E0,4.802681506E-2,1.349932998E-1,1.708761334E0,1.714758019E0
2.359065000E0,4.452529177E-2,1.496880949E-1,1.738458276E0,1.745458737E0
2.369106000E0,4.582287744E-2,1.557095945E-1,1.769765139E0,1.777192691E0
2.379146000E0,4.552753270E-2,1.609994322E-1,1.790567279E0,1.798367247E0
2.389186000E0,4.554883391E-2,1.574867219E-1,1.807470202E0,1.814889886E0
2.399226000E0,5.128102005E-2,1.574600935E-1,1.827494264E0,1.834981937E0
2.409267000E0,5.179370195E-2,1.604718864E-1,1.841785550E0,1.849488531E0
2.419307000E0,5.184057355E-2,1.681646854E-1,1.851761699E0,1.860104351E0
2.429347000E0,5.752539635E-2,1.627289355E-1,1.857074142E0,1.865077544E0
2.439388000E0,5.818745866E-2,1.606410146E-1,1.858069897E0,1.865908641E0
2.449428000E0,5.884517729E-2,1.519518495E-1,1.857112408E0,1.864247466E0
2.459468000E0,6.014666334E-2,1.503094733E-1,1.851527452E0,1.858592066E0
2.469508000E0,6.175578386E-2,1.376872063E-1,1.847753406E0,1.853905119E0
2.479549000E0,5.827290565E-2,1.345127225E-1,1.838978887E0,1.844812389E0
2.489589000E0,6.465084851E-2,1.306614429E-1,1.833070159E0,1.838857894E0
2.499629000E0,6.488280743E-2,1.328124702E-1,1.825628757E0,1.831602929E0
2.509670000E0,6.261512637E-2,1.325142086E-1,1.818408132E0,1.824305019E0
2.519710000E0,6.001881510E-2,1.343131661E-1,1.810475945E0,1.816443072E0
2.529720000E0,6.342370808E-2,1.043199077E-1,1.807575941E0,1.811694233E0
