"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.854133375E0,3.287565947E0,1.099451661E0,3.048375845E0,4.616219135E0
1.864102375E0,2.798460722E0,1.017459512E0,3.249507904E0,4.407483169E0
1.874070375E0,2.306999207E0,9.749782681E-1,3.675936937E0,4.448071529E0
1.884039375E0,1.833539367E0,8.788905740E-1,4.236084461E0,4.698800572E0
1.894007375E0,1.362264156E0,7.942528129E-1,4.841615200E0,5.091938620E0
1.903975375E0,8.937001228E-1,7.870660424E-1,5.343012810E0,5.474117166E0
1.913944375E0,4.622921646E-1,7.026929259E-1,5.645181179E0,5.707500498E0
1.923912375E0,9.250798821E-2,5.455248952E-1,5.804481506E0,5.830794174E0
1.933881375E0,-2.244654298E-1,3.212476075E-1,5.876334667E0,5.889388243E0
1.943849375E0,-4.936625361E-1,5.718931183E-2,5.890028477E0,5.910956672E0
1.953818375E0,-7.327010632E-1,-2.124636173E-1,5.875449181E0,5.924769591E0
1.963786375E0,-9.247714281E-1,-3.959362507E-1,5.843098164E0,5.929060959E0
1.973755375E0,-1.128280878E0,-3.147865832E-1,5.842015743E0,5.958293067E0
1.983723375E0,-1.370359063E0,-2.440588363E-2,5.880314827E0,6.037928624E0
1.993691375E0,-1.620924354E0,1.827220172E-1,5.849430084E0,6.072611910E0
2.003660375E0,-1.925818563E0,2.044440955E-1,5.728723526E0,6.047218184E0
2.013628375E0,-2.284865141E0,1.707675755E-1,5.488439083E0,5.947498117E0
2.023597375E0,-2.647575855E0,9.257556498E-2,5.198450565E0,5.834562231E0
2.033565375E0,-2.995753765E0,-4.912358150E-2,4.909843445E0,5.751827223E0
2.043534375E0,-3.320637703E0,-2.280355394E-1,4.640149593E0,5.710483623E0
2.053502375E0,-3.599433661E0,-3.563777804E-1,4.420923233E0,5.712047797E0
2.063471375E0,-3.840323687E0,-4.466395080E-1,4.257500172E0,5.750989530E0
2.073439375E0,-4.063723564E0,-6.235072017E-1,4.140902996E0,5.835211055E0
2.083407375E0,-4.297236443E0,-7.843980789E-1,4.077604294E0,5.975648765E0
2.093376375E0,-4.504974365E0,-7.822049856E-1,4.094689369E0,6.137843245E0
2.103344375E0,-4.624595642E0,-7.335498333E-1,4.173599243E0,6.272472467E0
2.113313375E0,-4.630173683E0,-7.610070109E-1,4.231487274E0,6.318474860E0
2.123281375E0,-4.528743744E0,-7.847387195E-1,4.209774017E0,6.232778837E0
2.133250375E0,-4.383909225E0,-7.032663226E-1,4.044217587E0,6.005742211E0
2.143218375E0,-4.238675594E0,-6.157857180E-1,3.720811129E0,5.673623031E0
2.153187375E0,-4.124336720E0,-4.965756238E-1,3.306362152E0,5.309309880E0
2.163155375E0,-4.042315483E0,-4.032523334E-1,2.863672256E0,4.970266160E0
2.173123375E0,-3.986222506E0,-3.265493512E-1,2.490357876E0,4.711527002E0
2.183092375E0,-3.937136412E0,-3.050152957E-1,2.244048357E0,4.542007319E0
2.193060375E0,-3.884623289E0,-2.090529650E-1,2.118707895E0,4.429777013E0
2.203029375E0,-3.900858879E0,-1.661007106E-1,1.999568224E0,4.386634533E0
2.212997375E0,-3.966854334E0,-1.420621127E-1,1.844659805E0,4.377086331E0
2.222966375E0,-4.065080166E0,-7.135679573E-2,1.608604670E0,4.372365210E0
2.232934375E0,-4.173213005E0,6.058281753E-3,1.269534349E0,4.362047794E0
2.242903375E0,-4.237503529E0,1.591421068E-1,8.842220306E-1,4.331698393E0
2.252871375E0,-4.216211319E0,5.179136395E-1,5.119739175E-1,4.278643443E0
2.262839375E0,-4.095020771E0,8.838762045E-1,1.602904350E-1,4.192388971E0
2.272808375E0,-3.926820278E0,1.252377033E0,-9.798385203E-2,4.122859028E0
2.282776375E0,-3.778052568E0,1.746959329E0,-2.606625259E-1,4.170550690E0
2.292745375E0,-3.754139900E0,2.025859118E0,-3.921271861E-1,4.283857524E0
2.302713375E0,-3.858690262E0,2.019334555E0,-5.537354946E-1,4.390196531E0
2.312682375E0,-3.978987455E0,2.017440081E0,-7.057002783E-1,4.516682248E0
2.322650375E0,-3.979907990E0,1.966538429E0,-9.132785201E-1,4.532220058E0
2.332618375E0,-3.762416363E0,1.860976219E0,-1.221063614E0,4.371499254E0
2.342587375E0,-3.341852188E0,2.018240929E0,-1.500330925E0,4.182375566E0
2.352555375E0,-2.824167013E0,2.347419024E0,-1.643364429E0,4.023299894E0
2.362524375E0,-2.381293774E0,2.728665829E0,-1.824541211E0,4.055259285E0
2.372492375E0,-2.133705616E0,3.322763443E0,-2.081169605E0,4.463711850E0
2.382461375E0,-2.026012421E0,4.098457813E0,-2.524863005E0,5.222740274E0
2.392429375E0,-1.953337312E0,4.912275791E0,-3.120273829E0,6.138573846E0
2.402398375E0,-1.806391835E0,5.696743011E0,-3.651437998E0,7.003494260E0
2.412366375E0,-1.578020096E0,6.184068680E0,-3.963365316E0,7.512730362E0
2.422334375E0,-1.363559723E0,6.309123039E0,-3.976942062E0,7.581582738E0
2.432303375E0,-1.196306944E0,6.320722103E0,-3.764576197E0,7.453503347E0
2.442271375E0,-1.088163376E0,6.132071972E0,-3.526430845E0,7.156963093E0
2.452240375E0,-1.035241485E0,5.743721485E0,-3.322254658E0,6.715611472E0
2.462204833E0,-1.020305991E0,5.410359383E0,-3.143732786E0,6.340036971E0
2.472173833E0,-9.456142187E-1,5.386225700E0,-3.061921597E0,6.267453822E0
2.482141833E0,-7.530085444E-1,5.570888996E0,-3.100732803E0,6.419997663E0
2.492110833E0,-4.354578555E-1,5.942161560E0,-3.195851803E0,6.761092833E0
2.502078833E0,-1.444109622E-2,6.409753799E0,-3.349139929E0,7.232004603E0
2.512046833E0,4.350799024E-1,6.667405605E0,-3.536954641E0,7.560002656E0
2.522015833E0,8.298823237E-1,6.624286652E0,-3.594207287E0,7.582097621E0
2.531983833E0,1.148737073E0,6.333666801E0,-3.506723404E0,7.330214257E0
2.541952833E0,1.402507305E0,5.918671131E0,-3.257716894E0,6.900030004E0
2.551920833E0,1.620191336E0,5.427393436E0,-2.843859911E0,6.337914379E0
2.561889833E0,1.794421196E0,4.816359043E0,-2.425595760E0,5.683377223E0
2.571857833E0,1.933002591E0,4.125982285E0,-2.047935247E0,4.995424667E0
2.581826833E0,2.103680372E0,3.587294579E0,-1.697654724E0,4.491790853E0
2.591794833E0,2.355107546E0,3.285021305E0,-1.366928935E0,4.266894801E0
