"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.305042000E0,-3.162661552E0,1.109885097E0,4.667552948E0,5.746331312E0
1.315083000E0,-3.197028875E0,1.325885892E0,4.691159248E0,5.829746317E0
1.325123000E0,-2.926794052E0,1.587551355E0,4.870336533E0,5.899713609E0
1.335163000E0,-2.882561445E0,1.592087865E0,5.218735695E0,6.170827052E0
1.345204000E0,-2.751209259E0,2.069113970E0,5.234457493E0,6.264976477E0
1.355244000E0,-2.762195826E0,2.440839529E0,5.110816479E0,6.301417973E0
1.365284000E0,-2.636644125E0,2.258852720E0,4.722897530E0,5.861746235E0
1.375324000E0,-2.520963907E0,1.741185069E0,4.707835674E0,5.617001086E0
1.385365000E0,-2.290594101E0,2.056405783E0,4.763279915E0,5.671372111E0
1.395405000E0,-2.251376629E0,2.277383804E0,4.805003643E0,5.774360027E0
1.405445000E0,-2.405213118E0,2.809236050E0,4.849699974E0,6.098889010E0
1.415486000E0,-1.998169541E0,2.636599064E0,5.224206448E0,6.183580609E0
1.425526000E0,-1.888942599E0,2.856430769E0,5.372935295E0,6.371478209E0
1.435566000E0,-1.749137521E0,2.823081970E0,5.190829754E0,6.162303742E0
1.445606000E0,-1.566224217E0,2.759816885E0,4.836856842E0,5.784879571E0
1.455647000E0,-1.276340365E0,2.848974466E0,5.061484814E0,5.946791467E0
1.465687000E0,-1.039365053E0,2.743721485E0,5.340088844E0,6.093015359E0
1.475727000E0,-1.082016826E0,2.861251593E0,5.208000660E0,6.039933109E0
1.485768000E0,-8.536393642E-1,2.763489008E0,5.063464165E0,5.831315547E0
1.495777000E0,-8.131204844E-1,3.019926310E0,5.176925182E0,6.048278613E0
1.505818000E0,-5.496326685E-1,2.889075994E0,5.073846817E0,5.864535591E0
1.515858000E0,-5.205687284E-1,3.089156389E0,5.020813465E0,5.917976584E0
1.525898000E0,3.419686109E-3,2.678691387E0,5.264143467E0,5.906488439E0
1.535938000E0,5.470383912E-2,3.142726183E0,5.203690529E0,6.079318670E0
1.545979000E0,1.826532930E-1,3.130105019E0,5.218127728E0,6.087674156E0
1.556019000E0,2.378647625E-1,3.111604452E0,5.141303062E0,6.014287912E0
1.566059000E0,3.446988165E-1,2.751204967E0,5.129544735E0,5.830966921E0
1.576100000E0,3.992345929E-1,2.853781223E0,5.089251518E0,5.848413165E0
1.586140000E0,5.401496887E-1,2.720774412E0,5.020105839E0,5.735489318E0
1.596180000E0,6.409841180E-1,2.961724997E0,5.028936386E0,5.871360726E0
1.606220000E0,1.021152616E0,2.726460218E0,5.195506573E0,5.955638214E0
1.616261000E0,1.129093885E0,2.807508945E0,5.155754089E0,5.978190337E0
1.626301000E0,1.349886179E0,2.699144363E0,5.138893127E0,5.959513031E0
1.636341000E0,1.427425146E0,2.416832447E0,4.913091183E0,5.658364304E0
1.646382000E0,1.291355133E0,2.453859806E0,5.013545990E0,5.729281754E0
1.656422000E0,1.496756077E0,2.012017012E0,4.964952946E0,5.562306083E0
1.666462000E0,1.473403573E0,2.284460306E0,4.873867512E0,5.580704391E0
1.676502000E0,1.877832890E0,2.191362381E0,4.632138252E0,5.457566329E0
1.686543000E0,2.035977125E0,2.414350033E0,4.570400715E0,5.555434423E0
1.696583000E0,2.252951145E0,2.046441793E0,4.525914669E0,5.454137555E0
1.706593000E0,2.368830919E0,2.248658419E0,4.279570580E0,5.383544274E0
1.716633000E0,2.465382338E0,2.100490570E0,4.457784176E0,5.510173361E0
1.726673000E0,2.555734396E0,1.946752310E0,4.719288826E0,5.709055078E0
1.736714000E0,2.618188381E0,1.796226859E0,4.699966908E0,5.671951186E0
1.746754000E0,2.536362648E0,1.454091072E0,4.576008797E0,5.430227696E0
1.756794000E0,2.387079000E0,1.475840569E0,4.355422497E0,5.181308393E0
1.766834000E0,2.518268108E0,1.311618686E0,4.296903610E0,5.150281398E0
1.776875000E0,2.795990229E0,1.546856880E0,4.240839958E0,5.309901234E0
1.786915000E0,3.036866903E0,1.479774356E0,4.214096069E0,5.401009018E0
1.796955000E0,3.149406433E0,1.586704135E0,4.174294472E0,5.464533395E0
1.806996000E0,3.034206867E0,1.100439668E0,4.436020851E0,5.485951127E0
1.817036000E0,2.935388088E0,1.205001593E0,4.609538555E0,5.596103802E0
1.827076000E0,3.079231262E0,8.706036806E-1,4.594523907E0,5.599041513E0
1.837116000E0,3.208627462E0,8.249624968E-1,4.508568287E0,5.594912091E0
1.847157000E0,3.346735477E0,7.203058600E-1,4.290108204E0,5.488579715E0
1.857197000E0,3.314738750E0,4.705733359E-1,4.197368145E0,5.369062450E0
1.867237000E0,3.137978792E0,3.370278180E-1,4.241248608E0,5.286651909E0
1.877278000E0,3.273921251E0,1.537263393E-1,4.243629456E0,5.361957022E0
1.887318000E0,3.208012819E0,1.838422008E-2,4.157324314E0,5.251193167E0
1.897358000E0,2.888516903E0,-2.458856627E-2,4.327261448E0,5.202819056E0
1.907368000E0,2.721451759E0,2.692196369E-1,4.702084541E0,5.439520009E0
1.917408000E0,2.900613546E0,-3.210274577E-1,4.598982334E0,5.446765653E0
1.927448000E0,2.987318993E0,-4.237948358E-1,4.549263477E0,5.458889540E0
1.937489000E0,2.951608658E0,-5.025863647E-1,4.477326870E0,5.386189991E0
1.947529000E0,2.763982058E0,-5.005722046E-1,4.735509872E0,5.505926180E0
1.957569000E0,2.804628849E0,-9.944083691E-1,4.671186447E0,5.538481183E0
1.967610000E0,2.667310715E0,-1.041682482E0,4.710822105E0,5.512848062E0
1.977650000E0,2.566815138E0,-1.318550467E0,4.486702442E0,5.334567845E0
1.987690000E0,2.455252409E0,-1.076203585E0,4.544396877E0,5.276174895E0
1.997730000E0,2.497602463E0,-1.511966825E0,4.471940041E0,5.340628190E0
2.007771000E0,2.291631699E0,-1.362693429E0,4.437314987E0,5.176704890E0
2.017811000E0,2.277167559E0,-1.384109259E0,4.432262421E0,5.171672911E0
2.027851000E0,2.271823645E0,-1.507583022E0,4.360908985E0,5.143103773E0
2.037892000E0,2.088748693E0,-1.451933980E0,4.320166111E0,5.013463734E0
